Terminated
Connecting to Pixhawk...
Pixhawk connected.
Starting monitor mode on wlan1...
Starting airodump-ng...
Collecting data...
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
Currently visible bssids
updating seen aps
